Producto,Precio,Cantidad,Fecha,Cliente,Ciudad
Carne,18.47,10,2025-12-10,Obdulia Duque Vall,La Rioja
Aceite,5.95,3,2026-05-16,Ernesto Blanes Collado,Segovia
Pan,4.86,3,2025-07-09,Ismael Amo Sanmartín,Pontevedra
Carne,18.09,10,2025-07-25,Nicanor Priego Barros,Valencia
Carne,19.42,5,2025-11-13,Mónica Andrés Ferreras,Vizcaya
Azúcar,1.95,2,2026-05-09,Jacinta de Peinado,Asturias
Queso,0.6,3,2025-11-06,Julieta Rozas-Bertrán,Burgos
Azúcar,14.69,9,2026-02-12,Tamara Bilbao Rovira,Córdoba
Café,1.51,1,2026-03-24,Marisol Real Llorens,Girona
Leche,17.94,4,2025-12-21,Ángela Bueno Acosta,Valencia
Azúcar,4.84,8,2025-10-09,Ana Sofía del Varela,Sevilla
Aceite,7.17,3,2025-11-11,Malena Maite Novoa Reguera,Zamora
Pollo,11.36,3,2025-09-08,Florina Morera Navarrete,Asturias
Café,14.1,7,2025-07-17,Arsenio Aitor Feijoo Campillo,Soria
Carne,0.7,1,2026-03-16,Wilfredo Hernández Llabrés,Castellón
Carne,3.18,3,2026-05-18,Olga Villena Bilbao,La Rioja
Huevos,3.66,7,2025-10-21,Melchor José María Atienza Ocaña,Valencia
Café,18.6,10,2025-10-22,Azahar Claudia Pedrosa Collado,Córdoba
Pan,11.2,9,2026-04-29,Manuel Canet Palma,Soria
Arroz,15.41,6,2026-03-24,Margarita Fernandez,Lugo
Café,5.16,5,2025-11-09,Lilia Zamora Malo,Zamora
Azúcar,10.99,9,2025-12-23,Trinidad Fernández Carrillo,Asturias
Huevos,18.23,8,2026-04-27,Felisa Ríos Amores,Zaragoza
Huevos,18.19,6,2025-10-03,Germán Santos Donoso,Girona
Café,4.62,9,2025-07-01,América de Juárez,Melilla
Leche,16.44,3,2025-10-19,Toni Lladó Zabaleta,Vizcaya
Azúcar,3.66,10,2026-01-22,Eusebio Ferrero-Aguado,Girona
Leche,17.57,8,2026-03-25,Máximo Larrañaga Rosado,Soria
Huevos,11.19,10,2025-12-14,Miguela Chamorro Morell,Barcelona
Leche,15.91,5,2026-03-04,Benito Campillo Batlle,La Coruña
Azúcar,7.54,9,2025-07-26,Chita Prat-Arnal,Murcia
Queso,19.22,4,2025-06-01,Concha Rico,Navarra
Arroz,8.28,3,2025-08-24,Guadalupe Montenegro Rueda,Lleida
Café,8.94,6,2025-09-23,Pablo Valentín Olivares,Badajoz
Queso,4.22,9,2025-07-16,Pascuala Ortiz Giralt,Lleida
Aceite,17.76,8,2025-08-04,Bonifacio Macías Revilla,Ceuta
Azúcar,4.25,9,2026-04-08,Fabio Martin Torres Cantón,Palencia
Leche,18.74,8,2025-09-19,Benigno Tejedor Córdoba,Santa Cruz de Tenerife
Leche,17.08,10,2026-01-10,Conrado del Galván,Zamora
Leche,18.7,5,2026-03-14,Florinda Delgado Prada,Huesca
Aceite,6.39,1,2026-04-10,Isa Palomar Mariño,Álava
Azúcar,12.78,4,2026-03-16,Íngrid Agudo Morales,Albacete
Arroz,17.63,3,2025-12-31,Ciriaco Pacheco Querol,La Coruña
Carne,5.28,1,2025-12-20,Alicia Alfonso Cabezas,Castellón
Café,2.86,2,2025-09-15,Montserrat Riquelme-Cervantes,Lleida
Huevos,2.62,2,2025-11-15,Francisco Jose Jose Ignacio Sans Oliva,Girona
Pollo,1.14,5,2026-03-18,Hermenegildo Ernesto Romero Zamora,Santa Cruz de Tenerife
Pollo,19.23,1,2026-02-02,Eutimio Llopis-Ferrández,Madrid
Queso,10.54,6,2026-05-20,Dora de Salinas,Castellón
Leche,7.19,1,2026-02-07,Ana Franco Román,León
Queso,13.26,10,2025-06-13,Espiridión Berenguer Arribas,Ourense
Leche,18.49,4,2025-09-14,Rosario Sebastián Rodríguez,Vizcaya
Pollo,3.08,8,2025-10-02,Flor Benito Pineda,Valencia
Café,18.15,4,2026-01-09,Úrsula del Moles,Baleares
Huevos,1.49,10,2025-07-27,Clementina Torres Arévalo,Santa Cruz de Tenerife
Huevos,8.01,8,2026-01-02,Odalys Bru Prats,Madrid
Leche,6.5,7,2026-02-06,Elvira Machado Jove,Cuenca
Pollo,2.07,8,2026-02-05,Dolores Antonia Andrés Llobet,Santa Cruz de Tenerife
Pan,19.38,10,2025-11-09,Jordana Caridad Cal Bustamante,Santa Cruz de Tenerife
Azúcar,8.71,9,2025-06-09,Anselma Domínguez Bonet,Guadalajara
Azúcar,15.07,3,2025-09-13,Loreto de Morales,Navarra
Carne,9.56,7,2026-02-10,Amancio Blázquez Valverde,Guadalajara
Café,6.86,1,2025-09-26,Nazaret Villa Barberá,Valladolid
Aceite,11.67,1,2026-03-16,Nacio Blanch Andreu,Zamora
Arroz,7.57,4,2025-10-09,Feliciano del Ríos,Asturias
Huevos,4.42,10,2026-05-19,Virginia Comas Carmona,Navarra
Carne,17.69,9,2026-04-14,Nazario Macías Peralta,Madrid
Leche,14.59,8,2025-09-25,Vito Roselló,Zamora
Azúcar,8.43,6,2025-08-03,Macario Larrea Granados,Almería
Queso,4.35,6,2025-05-29,Donato Soriano Madrid,Jaén
Aceite,3.58,7,2025-12-15,Leonor Mendez,Cáceres
Leche,12.84,1,2025-08-07,Loida Prado Carlos,Vizcaya
Queso,17.65,1,2025-09-25,Jenny de Becerra,La Coruña
Aceite,16.02,10,2026-04-22,Graciana Royo Herrera,Pontevedra
Leche,19.08,8,2025-06-17,Ambrosio Saez Castell,Albacete
Queso,10.97,2,2026-04-26,Gregorio Benítez Sala,Murcia
Leche,17.68,10,2025-12-01,Jose Francisco Gomis Beltrán,Córdoba
Pollo,7.1,6,2025-09-02,Ildefonso Colomer Taboada,Cáceres
Café,18.69,3,2025-10-07,Fernando Solsona Solé,Albacete
Azúcar,16.49,10,2025-06-18,Constanza Escribano Meléndez,Valencia
Arroz,12.63,4,2026-02-18,Ana Salgado Barranco,Zaragoza
Pan,1.74,4,2025-07-29,Candelas Campillo,Navarra
Huevos,10.08,4,2025-09-23,Lázaro Sarmiento Sobrino,Toledo
Queso,4.61,9,2025-08-13,Ceferino Saura-Chico,Ceuta
Leche,17.23,1,2026-01-20,María Luisa Cantón Villena,Las Palmas
Pan,8.21,10,2025-08-25,Fabricio Arana Sureda,Teruel
Arroz,3.65,2,2025-08-13,Silvia Canet Urrutia,Madrid
Pollo,16.34,9,2025-07-20,Conrado Pazos-Barriga,Lugo
Azúcar,14.04,6,2026-03-20,Aurelio Hierro Villalba,Jaén
Leche,4.88,4,2026-02-03,Federico Aguirre-Reina,Cádiz
Café,4.13,9,2025-06-06,Teobaldo Anaya Gaya,Burgos
Huevos,9.12,3,2026-01-10,Maximino Ferrando Ribera,Navarra
Carne,10.85,8,2026-04-14,Camila de Pozo,Asturias
Carne,16.26,9,2026-03-21,Mirta Echeverría Castillo,Palencia
Aceite,9.45,3,2025-08-26,Lorenzo Sebastián Batalla,Granada
Arroz,12.16,3,2025-06-07,Prudencio Máximo Osorio Valbuena,Ceuta
Café,12.62,3,2026-05-06,Wálter Falcó,Huesca
Azúcar,5.43,9,2026-01-13,Pancho Feliciano Arranz Molina,Valencia
Arroz,3.0,1,2026-01-04,Nazaret Abellán Losada,Tarragona
Azúcar,16.16,2,2025-11-27,Pili Almagro Viñas,Albacete
Pollo,4.74,7,2025-08-21,Olegario Cabrera Río,Toledo
Huevos,3.72,7,2026-02-03,Xavier Pujadas Pavón,Castellón
Aceite,1.73,2,2025-08-01,Felicidad Cañas Ribera,Albacete
Carne,17.95,8,2026-02-25,Juan Antonio Verdú Revilla,Albacete
Leche,18.36,2,2026-04-30,Estela Jover-Muro,Ceuta
Carne,4.65,3,2025-10-22,Demetrio Llorens Farré,Huesca
Huevos,3.0,4,2026-04-18,Jacobo Castillo Guillen,Lleida
Café,9.95,7,2026-01-16,Carmen Canales Pagès,Teruel
Pollo,3.11,3,2026-01-29,Eligio Pavón Vilaplana,Ourense
Pan,4.98,1,2026-02-03,René Priego Alcalde,Salamanca
Arroz,8.64,6,2025-07-05,Eutropio Vaquero Navas,Navarra
Café,6.57,9,2025-11-27,Xavier Ordóñez Correa,Santa Cruz de Tenerife
Leche,5.83,8,2026-03-14,Joaquín Armas,Pontevedra
Arroz,6.07,3,2025-12-19,Florencio Chamorro Canet,Toledo
Arroz,18.69,1,2025-09-02,Magdalena Pujol Cardona,Ciudad
Pollo,19.57,3,2026-03-16,Celestina Piña Batalla,Toledo
Queso,5.34,8,2026-03-21,Marcela Tur-Fuster,Salamanca
Queso,16.95,10,2025-08-13,Chita de Agustí,Castellón
Arroz,7.42,3,2025-10-18,Jose Ramón Prado Riera,Soria
Café,9.93,6,2026-02-05,Edelmiro Uribe Gaya,La Coruña
Leche,16.35,1,2026-03-15,Sarita Dionisia Perera Morcillo,Cantabria
Pan,1.22,9,2025-07-01,Carolina Rosado,Burgos
Carne,0.76,6,2025-12-02,Leopoldo Aguilar Soriano,Zamora
Aceite,2.31,10,2025-09-16,Salomé Sacristán Zapata,Tarragona
Pollo,14.0,9,2026-02-08,Artemio Infante-Cáceres,Castellón
Huevos,19.45,3,2026-03-17,Odalis de Carvajal,Tarragona
Café,7.56,10,2026-02-11,Adrián del Prieto,Álava
Pollo,19.66,7,2025-07-09,Kike Epifanio Cornejo Juan,Asturias
Huevos,8.36,6,2025-07-23,Pancho Aguilar Canales,Albacete
Azúcar,15.6,7,2025-12-24,Gilberto Parra Echeverría,Lugo
Azúcar,10.23,6,2026-04-16,Alex del Carrillo,Zamora
Queso,17.47,8,2026-04-19,Mateo Villa-Ramos,Soria
Azúcar,16.76,6,2026-04-25,Genoveva Cano Viana,Las Palmas
Queso,2.6,7,2025-11-11,Josefa Pili Andreu Villanueva,Salamanca
Café,7.52,2,2025-08-26,Vera Estefanía Lorenzo Busquets,Pontevedra
Pollo,9.13,8,2026-04-25,Perlita Bonet-Gibert,Cádiz
Arroz,10.35,6,2025-12-26,Custodia Casas Flor,Huelva
Azúcar,5.04,7,2025-06-22,José María Ripoll-Palmer,Lugo
Arroz,1.7,6,2026-04-28,Pepita del Saez,Málaga
Café,0.85,10,2026-02-16,Jordana Lluch Ferrándiz,Barcelona
Carne,14.12,6,2026-01-08,Marino Benet Flores,Burgos
Carne,18.72,5,2026-03-04,Renata Tejero Castejón,Ávila
Café,6.18,6,2026-05-08,Cruz de Tormo,Almería
Pan,11.29,3,2026-05-17,Venceslás Iñiguez-Pujol,Córdoba
Azúcar,9.56,10,2025-09-19,Primitiva de Salvà,Pontevedra
Carne,11.62,10,2025-09-22,Manola Gimenez Perera,Pontevedra
Carne,3.48,1,2026-04-14,Roque España Llano,Madrid
Pan,1.58,9,2025-08-15,Guadalupe Tolosa Mariscal,Cádiz
Leche,11.03,10,2026-04-30,Valerio Torrens Corominas,Badajoz
Aceite,8.32,3,2025-11-03,Ciríaco Cazorla Rebollo,Asturias
Café,6.22,9,2025-08-01,Eugenio de Guzman,Jaén
Huevos,0.77,4,2026-02-25,Esther Ordóñez Riera,Huelva
Arroz,14.7,2,2026-05-09,Toni Paulino Niño Cadenas,Cádiz
Queso,15.7,3,2025-08-14,Rubén Barroso Julián,Madrid
Carne,10.21,3,2025-12-18,Anastasia de Andreu,Albacete
Huevos,19.09,8,2026-04-22,Camilo Iborra,Cuenca
Queso,10.41,5,2025-12-16,Ainoa Navas Nogués,Córdoba
Leche,10.18,6,2026-01-23,Azucena Rozas Corbacho,Álava
Azúcar,9.69,5,2025-08-31,Paca Aliaga Huerta,Cáceres
Carne,3.27,2,2025-10-22,Natalia Morán Cordero,Almería
Leche,4.61,1,2026-01-06,Onofre Palmer Alemany,Huelva
Carne,9.75,2,2025-07-10,Arsenio Trujillo Bello,Sevilla
Pollo,1.23,2,2025-06-19,Fausto Gallardo Alarcón,Cádiz
Carne,2.14,7,2025-11-12,Cristóbal Sobrino,Cádiz
Carne,14.58,1,2026-03-20,Sonia Jimenez Almansa,Burgos
Carne,9.94,6,2025-11-22,Ruperta Rodríguez Tena,Pontevedra
Queso,12.02,5,2025-06-28,Alexandra Bayón Carranza,Cádiz
Pan,12.81,8,2026-05-02,Máximo Villalobos Sans,Huesca
Carne,5.04,1,2025-11-02,Jafet Font Leiva,La Rioja
Pollo,2.47,2,2026-05-25,Ani Aguiló Bernal,Badajoz
Café,11.54,9,2026-05-06,Luisa Castilla Solsona,Murcia
Huevos,15.32,2,2025-09-20,Vidal Fuster Diez,Soria
Arroz,13.57,9,2025-07-23,Rosario Vélez Azcona,Badajoz
Queso,19.39,4,2026-02-05,Joaquín Nacho Narváez Rincón,Jaén
Azúcar,6.02,6,2026-02-27,Marcela Bernad Somoza,Madrid
Carne,12.97,8,2025-12-27,Julieta Alfaro Vara,Teruel
Café,4.06,8,2025-10-25,Abraham Gascón Madrid,Sevilla
Leche,16.02,6,2025-11-27,Modesto Tejada,Barcelona
Café,0.59,1,2025-08-04,Joan Nogués Pol,Huesca
Café,16.87,8,2026-04-30,Plácido Antúnez Torrens,Vizcaya
Pollo,18.9,5,2026-02-09,Félix Riba-Robledo,Badajoz
Azúcar,15.84,10,2026-03-12,Prudencia Alcántara-Collado,Castellón
Huevos,1.13,2,2025-07-19,Antonio Murcia Guardiola,Pontevedra
Arroz,14.31,2,2026-03-05,Hugo Cózar-Ferrera,Lugo
Aceite,19.93,8,2026-02-17,Rosario Merino Mendez,Cáceres
Pan,5.37,3,2025-09-09,Maite Zapata Arévalo,La Rioja
Café,3.69,7,2026-03-12,Fermín Alegria-Milla,Málaga
Aceite,3.25,9,2025-06-06,Segismundo Norberto Quevedo Macías,Málaga
Aceite,6.36,2,2026-05-11,Delfina Pavón Tamarit,Alicante
Pan,18.15,2,2025-06-27,Renato García Bravo,Murcia
Café,0.74,2,2025-09-02,Ceferino Salinas Diaz,Alicante
Pan,19.38,2,2026-04-27,Espiridión de Batlle,Guipúzcoa
Huevos,9.23,4,2026-05-18,Maxi Andrés Pombo,Salamanca
Huevos,6.83,9,2025-08-23,Vilma de Pi,Vizcaya
Leche,15.14,9,2026-04-01,Gervasio Villar Arco,Valladolid
Arroz,11.44,2,2025-12-22,José Luis Exposito Pizarro,Vizcaya
Azúcar,9.49,6,2025-12-06,Silvio del Ugarte,Melilla
Huevos,2.97,4,2025-06-04,Guadalupe Casals Cantero,Asturias
Carne,11.57,2,2026-04-30,Hipólito de Camps,Almería
Pan,15.6,3,2026-01-05,Joaquina Iniesta Arteaga,Lleida
Azúcar,19.67,10,2026-02-04,Eladio Carbonell Guardiola,Lugo
Arroz,11.65,8,2025-11-22,Quique Amigó Barral,León
Huevos,15.06,5,2026-02-13,Samu Carnero Burgos,Sevilla
Arroz,7.52,8,2025-11-24,Modesto Montserrat,Burgos
Huevos,14.42,4,2026-04-21,Juliana Pozuelo-Galan,Jaén
Carne,8.49,8,2026-03-29,Ámbar de Morante,Ourense
Arroz,17.66,10,2026-04-10,Pastora Barberá Vilanova,Salamanca
Azúcar,15.44,8,2026-01-15,Rosalía Silva,Murcia
Carne,15.81,7,2025-06-28,Marcos Salinas Prat,Girona
Pollo,4.56,3,2026-05-01,Candelaria Barreda Jódar,Girona
Carne,19.71,10,2026-05-04,Haydée Bello Arévalo,Soria
Aceite,4.07,8,2025-09-28,Constanza Marquez,Zaragoza
Azúcar,8.87,6,2025-08-04,Eusebia Uriarte Ballesteros,Las Palmas
Azúcar,19.79,5,2025-08-16,Natanael Ibarra Acosta,Barcelona
Arroz,17.01,7,2026-05-04,Lina Ramírez Barrera,Albacete
Leche,15.17,7,2026-05-07,Heliodoro Angulo Avilés,Málaga
Carne,17.3,7,2026-01-04,Carlos Jordán Blanco,Cáceres
Pollo,2.81,2,2026-04-16,Emelina Rodríguez Fuentes,Cáceres
Carne,10.34,1,2025-10-17,Florentino del Arenas,Burgos
Azúcar,13.81,6,2025-06-01,Marco Fábregas Cisneros,Jaén
Pollo,7.74,1,2026-03-15,Manuela Pino,Murcia
Queso,6.14,6,2026-05-21,Anastasia Milla Carreño,Toledo
Leche,14.68,2,2025-12-23,Cecilia Tejera Terrón,Álava
Pollo,11.16,1,2026-05-04,Félix Gordillo-Anguita,Badajoz
Queso,12.09,5,2026-01-08,Manuelita Hierro Segura,Valladolid
Pan,18.54,8,2025-11-25,Amor Losada,Girona
Carne,1.55,7,2026-01-19,Martina de Lumbreras,Ciudad
Huevos,5.81,2,2025-10-14,Gabriela de Ortuño,Palencia
Café,14.77,8,2025-12-28,Fabiana Priego Martinez,Murcia
Queso,9.2,7,2026-04-04,Leonor Amigó,Santa Cruz de Tenerife
Leche,18.73,6,2025-09-20,Rómulo Requena,Ourense
Leche,10.72,5,2025-11-24,Eustaquio Molins Domínguez,Baleares
Leche,8.76,9,2025-07-28,Carmina Figueroa-Alcalá,Huelva
Pollo,3.8,2,2026-02-22,Germán Pedro Bermejo,Sevilla
Pan,9.95,9,2026-01-15,Lola Zabaleta Guzmán,La Coruña
Café,6.8,2,2026-04-22,Almudena Vergara Casares,Zamora
Café,18.17,5,2025-08-01,Tania del Velasco,Córdoba
Café,5.52,1,2026-01-17,Jesusa Jara Solsona,Ciudad
Leche,14.7,9,2026-02-23,Catalina Cózar Colomer,Sevilla
Pollo,5.6,10,2025-11-01,Chuy Segarra,La Coruña
Huevos,18.34,8,2025-10-06,Sonia Sebastián Almansa,Sevilla
Aceite,14.98,1,2026-01-23,Mohamed Tena,Toledo
Pollo,10.68,7,2025-10-14,Silvia Contreras Gutierrez,Ciudad
Huevos,10.04,10,2025-10-16,María Fernanda Sánchez Tejada,Las Palmas
Pollo,19.51,5,2026-05-16,Isa Uribe Puga,Santa Cruz de Tenerife
Huevos,17.54,6,2026-02-19,Eloy Heredia Quesada,Granada
Pollo,16.08,5,2026-01-02,Pepita Mosquera Rovira,La Rioja
Huevos,5.64,1,2025-07-28,Bernarda Moya Clavero,Huelva
Pollo,11.9,10,2026-03-29,Jose Carlos Sales Grau,La Coruña
Leche,3.67,4,2025-06-30,María Del Carmen del Contreras,Cuenca
Carne,12.5,4,2026-01-15,Prudencio Soria Sebastián,Valladolid
Café,18.08,9,2025-10-05,Gracia Caridad Sancho Arrieta,Madrid
Pan,18.98,10,2025-09-30,Faustino Fortuny Porcel,Madrid
Queso,10.53,1,2025-08-20,Paulina Sara Enríquez Izquierdo,Salamanca
Queso,6.45,3,2026-05-09,Estefanía Maricela Salamanca Sola,Córdoba
Café,18.8,5,2025-09-21,Valero Madrigal Asensio,Pontevedra
Huevos,4.02,8,2026-02-26,Sebastián Tomas Folch,Teruel
Café,15.09,6,2025-09-07,Hugo Morales Casado,Soria
Leche,16.65,4,2026-01-27,Isaura Mena-Menendez,Guipúzcoa
Azúcar,17.15,2,2025-07-11,Tania Amat-Campo,Pontevedra
Aceite,3.45,8,2025-10-18,Remigio Macias Bautista,Cantabria
Queso,18.42,1,2026-03-03,María Teresa Marí Boix,Almería
Azúcar,19.2,4,2026-02-27,Rosalinda Albero-Pizarro,Tarragona
Aceite,17.32,5,2025-07-25,Tere Moya Andres,Girona
Café,18.11,3,2025-07-21,Mirta Oliver Collado,Valencia
Huevos,17.78,9,2026-01-05,Federico Mata Sans,Zamora
Huevos,15.55,10,2026-04-21,Alejo Abel Tur Palacios,Baleares
Café,17.65,10,2026-04-11,Cristian Alfonso,Cantabria
Arroz,6.22,1,2026-02-11,Jacinta Hoyos,León
Pan,8.71,5,2025-07-27,Ainoa González Solé,Cuenca
Pollo,12.21,2,2026-01-03,Sofía Torre Duran,Ceuta
Pan,3.58,7,2026-03-31,Juan Naranjo Cifuentes,Lleida
Pan,1.27,4,2026-02-27,Fidela del Girón,Girona
Pollo,19.43,3,2026-05-26,Ismael Folch-Elías,Cádiz
Leche,16.77,6,2025-08-11,Camilo Ferrando-Vicente,Madrid
Carne,5.44,6,2025-12-27,Lupita Figueroa Exposito,La Rioja
Pan,11.84,4,2026-01-09,Eligio Mayo Sanchez,Toledo
Aceite,6.27,2,2025-11-19,Dan Toni Frutos Carrión,Zamora
Pollo,18.59,5,2025-07-12,Javier Alonso Medina,Lugo
Queso,5.78,8,2025-12-01,Lope Pozuelo-Canet,Badajoz
Café,13.01,4,2026-01-02,Gil Rodrigo Baena,Granada
Queso,13.54,9,2026-05-06,Concepción Nogués Checa,Baleares
Carne,3.49,8,2026-04-23,Luciano Castañeda Porta,Ciudad
Pan,13.56,7,2025-11-10,Candelario Arjona Solé,Soria
Arroz,14.5,1,2025-10-09,Luz Vilar-Guitart,Burgos
Carne,6.69,4,2026-05-08,Albert Maldonado-Tamayo,Badajoz
Carne,19.99,6,2025-10-08,Mirta Santiago,Lleida
Leche,14.22,3,2026-01-23,Rosa María Tirado Barral,La Rioja
Azúcar,9.7,1,2026-04-10,Jose Carlos Alcides Galiano Alcolea,Huesca
Azúcar,11.09,1,2026-05-21,Marisa Salvà-Mayol,Cáceres
Aceite,9.52,4,2026-03-01,Jordi Sánchez Luz,Álava
Pan,0.54,2,2026-01-28,Rufino Peñas Vera,León
Huevos,10.92,8,2026-04-23,Alma Taboada Fernández,Baleares
Arroz,16.94,2,2025-06-18,Adoración del Burgos,Ourense
Azúcar,18.66,2,2026-01-10,Cándida Hoyos,Badajoz
Pan,14.22,5,2025-10-15,Berto Marco Bello,Guipúzcoa
Aceite,13.02,8,2026-02-09,Modesto del Galiano,Zamora
Café,14.06,2,2026-02-04,Odalys Roselló Peñas,Tarragona
Huevos,6.03,2,2025-12-28,Domingo Aguilera Osuna,Las Palmas
Aceite,18.23,3,2025-12-11,Eli Cases Cazorla,Ourense
Leche,8.23,10,2026-02-23,Aníbal del Navas,Burgos
Azúcar,7.64,4,2025-06-20,Fabio Alcalde Isern,Murcia
Arroz,4.96,3,2025-11-14,Candelario Moll Antón,Valencia
Café,10.22,8,2025-08-27,Graciela Nilda Bastida Alcántara,Palencia
Queso,18.84,5,2025-06-07,Clara Villar Sobrino,Lugo
Aceite,2.07,2,2026-01-25,Octavia de Perelló,Ourense
Pan,5.22,6,2025-08-12,Zaira Benítez Miranda,Guipúzcoa
Pollo,6.77,6,2025-10-02,Vilma Fernández Arribas,Valencia
Azúcar,4.47,8,2025-12-21,Ofelia Aitana Ferrer Galván,León
Aceite,10.97,7,2025-09-04,Amando Querol Pascual,Burgos
Aceite,8.27,6,2026-04-14,Flor Gisbert Romeu,Cuenca
Pan,12.93,8,2025-07-20,Maximiano Caballero Carreras,Guipúzcoa
Pollo,12.33,1,2026-03-21,Paco Cadenas Sola,Málaga
Aceite,13.67,6,2026-04-28,Íñigo Gutierrez,Córdoba
Café,16.24,7,2025-11-28,Pepe Abraham Guerra Pardo,Málaga
Pan,2.31,4,2025-08-29,Vidal Cuenca Roma,Santa Cruz de Tenerife
Queso,19.52,10,2025-08-20,Amando de Ramón,Soria
Aceite,10.82,9,2025-07-21,Trini Tudela Bayo,Córdoba
Aceite,10.35,2,2026-01-09,Luis Miguel Gascón Mármol,Ourense
Queso,16.65,8,2025-06-24,Edu Somoza Donaire,Málaga
Queso,19.2,5,2026-04-13,Paula Hernando Rios,Córdoba
Leche,3.41,9,2026-03-18,Gisela Cervera Malo,Albacete
Queso,7.68,3,2026-01-23,Mariana Múgica,Zaragoza
Arroz,9.43,4,2025-06-08,Olga Morell Buendía,Madrid
Leche,1.66,1,2025-10-12,Dorita Durán-Olivares,Ciudad
Arroz,17.39,8,2025-06-19,Nélida Lluch Correa,Huesca
Huevos,6.37,8,2025-08-27,Modesta Zamora Nicolau,Huesca
Pan,19.28,10,2025-12-07,Águeda Buendía Gil,Las Palmas
Pan,18.54,7,2026-02-01,Demetrio Sáenz Morell,Soria
Arroz,2.16,4,2025-12-17,Victor Manuel Cabo Costa,Madrid
Queso,14.6,9,2025-08-07,Bernardino Alarcón Bermudez,Huelva
Arroz,18.62,10,2025-12-13,Gabino Lerma Segarra,Melilla
Aceite,14.29,1,2025-11-29,Crescencia Arcos Escalona,Zaragoza
Pollo,16.08,3,2025-06-04,Pepito Adadia Cobos,Ceuta
Café,15.83,3,2025-05-29,Azeneth Miranda,Huesca
Huevos,11.31,5,2025-12-24,Corona Gómez Coloma,Girona
Queso,6.04,2,2026-02-20,Amílcar Téllez,Barcelona
Carne,8.88,3,2025-07-25,Cándida Correa Jerez,Jaén
Pan,3.61,8,2025-09-27,Bernabé del Segarra,Navarra
Pan,10.2,2,2025-08-08,Nacho Fiol Romero,Albacete
Huevos,6.71,8,2025-11-12,Juan Antonio de Antúnez,Zaragoza
Aceite,8.32,7,2025-08-11,Jordana Ortiz-Morata,Huelva
Aceite,13.96,3,2026-03-21,Nydia Arnal Prieto,Las Palmas
Azúcar,10.91,7,2026-03-21,Lourdes de Codina,Guipúzcoa
Café,9.19,4,2025-07-03,Máxima Sotelo Toro,Lugo
Aceite,6.46,1,2025-11-08,Hilda del Cámara,Segovia
Huevos,12.32,9,2025-09-07,Feliciana Garrido Méndez,Alicante
Pollo,4.23,2,2026-03-30,Alex Bárcena-Domingo,Guipúzcoa
Leche,3.81,1,2025-07-02,Dominga Nuñez Borrás,Málaga
Leche,2.04,3,2026-05-07,Gastón Benavente Bayona,Alicante
Pan,1.24,1,2025-07-30,Sarita de Raya,Cantabria
Arroz,9.91,4,2025-06-28,Nuria Carreño Royo,Córdoba
Aceite,18.51,1,2026-02-03,Jesús Cal Arana,Navarra
Huevos,11.78,7,2025-08-25,Anacleto Peñas Pellicer,Albacete
Azúcar,8.96,7,2025-12-31,Josefina Melero,León
Pollo,10.71,8,2026-01-11,Serafina Puga-Ortiz,Valencia
Huevos,19.96,3,2025-11-13,Macaria Muñoz Cid,Alicante
Huevos,11.93,2,2025-12-23,Alonso Piquer Briones,Granada
Leche,18.24,8,2025-11-27,América Roura Aznar,León
Pan,8.39,4,2025-11-22,Eliseo Iriarte Arnau,Melilla
Aceite,2.95,10,2025-08-14,Fátima Bustos Mateu,Barcelona
Pollo,13.73,1,2026-02-24,Eusebio Torrents Peñas,Ciudad
Arroz,5.25,6,2025-10-29,Bernardino Alcalá Casanova,La Coruña
Azúcar,11.51,3,2025-09-03,Luis Ángel Capdevila Jordán,Alicante
Arroz,3.99,9,2025-06-01,Susanita Barba Cazorla,Madrid
Pollo,14.81,3,2026-03-02,Quirino Narciso Cortes Pla,Murcia
Leche,19.47,9,2025-11-26,Eric Sandalio Rosales Adán,Zaragoza
Arroz,18.49,8,2026-03-16,Augusto Mendez Segovia,León
Pan,12.32,7,2026-04-08,Cebrián Zabala Cobos,León
Pan,6.76,3,2026-03-26,Fito Peñalver-Murcia,Cuenca
Carne,5.91,2,2026-05-04,Felicia Nebot Pedrero,Toledo
Azúcar,13.01,9,2025-10-24,Fabiana Portillo Cortés,Zaragoza
Arroz,4.34,1,2025-12-25,Remedios Rivero Cifuentes,Zaragoza
Queso,4.34,2,2025-06-25,Tomasa Tudela Valderrama,Zaragoza
Pan,19.66,2,2025-05-29,Alfonso Íñigo Mateos Mariscal,Asturias
Leche,6.61,9,2026-02-07,Paulino Zacarías Guardia Segura,Girona
Leche,11.47,3,2025-12-22,Fidela del Vendrell,Badajoz
Pollo,5.73,10,2026-04-04,Graciana Bienvenida Arnaiz Armas,Ávila
Arroz,7.48,2,2025-11-04,Curro Marquez Vara,Girona
Aceite,1.79,1,2025-11-01,Dorotea de Blazquez,Zaragoza
Leche,13.05,7,2025-12-07,Elvira Cervantes-Lobo,Zaragoza
Carne,6.53,8,2026-03-04,Dimas Victorino Bosch Mena,Almería
Huevos,18.43,2,2025-05-31,Otilia Crespi Reguera,Badajoz
Queso,19.29,1,2026-04-10,Narcisa Segovia,Santa Cruz de Tenerife
Arroz,8.91,6,2026-03-22,Agustina Aller Barros,Sevilla
Azúcar,2.23,6,2025-08-09,Violeta Gámez-Oller,Zamora
Queso,17.15,6,2025-07-17,Elías Redondo,Zaragoza
